,type,text,Predicted_value
307,1,Feds want your thoughts on reducing gun violence - specifically related to handguns and assault weapons: ,0
310,1,I’m a black man &amp; a PROUD Democrat. I’m not a Democrat b/c of welfare (it’s not even called welfare anymore). Im a… ,0
311,1,"#Kayne and #POTUS are having an “incoherent-rant-off” in the Oval Office... 
It’s anyone’s guess as to the eventual… ",0
312,1,@RancherHills @stevekling Really? Can you tell me what organization has single handedly lead to the slaughter of ou… ,0
320,1,Imagine thinking that gun reform doesn't help lower gun violence,0
321,1,#KanyeDoesntSpeakForMe,0
336,1,"In light of the tragic gun violence to strike our community, the Alderman is making sure we get the best deals",0
339,1,Ain't nobody paying for this Ancestry subscription but me. 😂,0
347,1,"Yes, mad Maxine Water's &amp; Corey Booker 1st!",0
367,1,"I'm so tired of him.

So tired.",0
372,1,Fr. Lol Kanye sucks,0
376,1,"No - you meant it.  Just like Maxine:  get in their faces
Kind of like Obama saying they bring a knife, we bring a… ",0
382,1,@beanzMAGA I could bring up a lot more than the trumper that pulled a gun on protesters in alabama..or this guy. Us… ,0
394,1,"Interesting story by @Blair_Yankey.
Goshen Schools are looking at an app called ""SchoolGuard"" to increase safety in… ",0
401,1,"@PedigerousH @TayZonday Sure, and the original inventor of gunpowder's responsible for every gun violence victim ev… ",0
402,1,Canada where I live is a great example moron,0
404,1,,0
419,1,"There you go people, and WHO has the mob violence tendencies? This pedophilia loving washed up POS.",0
422,1,She should fear turkeys more this time of year in ky  not libs.,0
423,1,"@Everytown @TheTinyDiplomat @Emma4Change @JaclynCorin @Sarahchadwickk @NzaAriKhepra Must ""gun violence""?

The resul… ",0
427,1,Lmaooo you guys. A dumbass thread.  I’m dead.,0
429,1,"Be like @Oprah, vote with gun sense. ",0
432,1,Then why are you wearing a magat hat.,0
433,1,"@trueamerica1st @realDonaldTrump As in safety from climate change, safety from gun violence, safety from Federal ki… ",0
443,1,#txlege needs more Progressives #BlockVoteBlue @SDA_Southlake  @MomsDemand #NationalComingOutDay,0
448,1,Funeral For Kelsey Quayle  More senseless gun violence.  Donate if you can.,0
455,1,"in fact, he’d make it easier for someone with a history of violence to get a gun than it would be for me to get tha… ",0
459,1,Kanye really is the goat I’m sorry. You have all these other rappers and people in the rap community who talk all t… ,0
476,1,If you have children and you want them to be able to go to school and your heart breaks at the idea of them having… ,0
480,1,YES!!!!,0
486,1,👌,0
491,1,Beautiful and timely song with all proceeds going to help reduce gun violence. Link to the music video in the artic… ,0
496,1,"What the fuck?!?!
Trans Girl Forced to Sit in Hallway as Students Seek Shelter During Active-Shooter Drill… ",0
530,1,love too get active shooter warning on the work phone and then be told oops it should have said TEST,0
4,1,"@Noahpinion They claim this kind of stuff all the time eg crisis actors after gun violence, paid protesters in Sena… ",0
10,1,I can't believe this is epidemic and growing in dangers as Americans become more disturbed by the radicalized polit… ,0
13,1,@SarahKSilverman @SinyardPeggy I think the idea is Hollywood emulating gun violence and then the same people tellin… ,0
14,1,"BREAKING NEWS!!! 

Turns Out, Gun Violence Is Really An Illegal Gun Problem.

Apparently, you can’t get hurt by a l… ",0
15,1,So very proud to be a part of this amazing song by @MarkErelli,0
17,1,What the fuck is going on lol Trump needs them ratings lol,0
28,1,Kanye may say whatever you don’t like but it got literally to one question about gun violence and he said we have t… ,0
30,1,Where's the lie?,0
41,1,"We're offering a Civilian Response to Active Shooter Training Course on Tues, 10/16. This course is free. Those int… ",0
46,1,So now Trump is Frodo,0
55,1,So excited that Everytown endorsed this candidate for KS gov.  Go Senator Kelly!  #ksleg. #MomsDemand,0
61,1,This Kanye shit really crazy lol,0
78,1,"Like, the start of this is that there are active shooter lockdown drills and it gets worse from there. Imagine how… ",0
111,1,@Chrisdm91 @kbamagirlw @jamieleecurtis @USATODAY Her hypocrisy.  Hollywood can’t be pro 2nd Amendment and sell gun… ,0
114,1,"Join us this Saturday, October 13, at 12pm for our Rally to End Gun Violence!

For more information and to RSVP ple… ",0
132,1,"Greatest internal threats to America, ranked: 
1) Climate Change
2) Gun violence
3) Mitch McConnell
…
…
…
213) Diap… ",0
133,1,"#freethinker 
#WalkAway",0
142,1,Kim come get ya mans,0
146,1,"He's Right !!! 
#Chicago

October to Date
Shot &amp; Killed: 19
Shot &amp; Wounded: 49
Total Shot: 68

Year to Date
Shot &amp;… ",0
169,1,"@EricTrump Great, your dad and Kanye just publicly came to the conclusion that he's going to continue to do absolut… ",0
178,1,"“...violent crime in the US was historically low.”...

Ya, except for all the people who died of gun violence becau… ",0
190,1,Can any of my friends and followers  tell me who this #gunsense ‘er May be talking about? My first guess was the De… ,0
205,1,"You are aware, aren't you Eric, that America is NOT a democracy? It is a Republic. Always has been. There is a diff… ",0
229,1,@mitchellvii Chicago gun violence! Sanctuary cities! No border wall ! Want any other “ signs”?,0
233,1,"@HoarseWisperer @thehill Rand votes yes, pushes through, when a majority is saying NO!...His family felt protected… ",0
238,1,What about the violence that you create you are an awful despicable person you are so corrupt and criminal I'm not… ,0
243,1, via   @HuffPostEnt so some statistics show movie/video game violence increases real life vi… ,0
251,1,@thecoolestslave truly. dude had my respect at first because he advocatwd against gun violence (especially in his h… ,0
265,1,A new active shooter warning app could soon be installed at Goshen Community Schools if city and police officials h… ,0
279,1,Thank you for sharing this important work by @UFHealthJax!,0
286,1,Says the former AG that oversaw gun running to Mexico cartels.,0
290,1,@asifintoronto @IMAO_ @kellyfirehorse Where here has he blamed gun violence on movies?,0
293,1,@WizzardMane Bruhhh someone said “another life loss to senseless gun violence” I was in fucking tears,0
305,1,"This is my issue with Kanye. If you don't know what you are talking about, DON'T TALK ABOUT IT. If he could just ta… ",0
317,1,@CharlieDaniels Hollywood indoctrinated kids with depictions of gratuitous gun violence.,0
324,1,He definitely has a point...,0
330,1,#DayOfTheGirl,0
357,1,Name one good thing Republicans stand for... just one. I cant think of any.,0
364,1,"Mentally, socially unstable people 
SHOULD NOT!",0
377,1,@EricHolder It’s always funny and a little ironic that the party whose members have been actual victims of gun viol… ,0
381,1,You really want to play this game @FoxNews ? Fine. Michael Meyers was mentally unfit and had a history of violence… ,0
387,1,nigga what? tf that mean💀💀,0
389,1,"the best news of the day is that Kanye's phone password is ""0000""",0
390,1,"It’s not a real White House policy meeting without Snooki and The Situation, Screech, the Beaver, the Fresh Prince… ",0
393,1,"Kanye, i just can’t with you 🤦🏾‍♂️",0
413,1,"@PistolPaycom @FoxNews Have you ever lost someone to gun violence?  

Speaking from first hand experience, I wouldn… ",0
425,1,"@Bob_Ballinger Really, all the Democrats want is to use gun violence to demonize a major Republican donor (NRA) bec… ",0
428,1,Remember when Nysfinest threatened gun violence over his garbage ass headers? That was one of the funniest days on twitter.,0
432,1,"Greatest internal threats to America, ranked:

1) Climate Change
2) Gun violence
3) Mitch McConnell
…
…
…
213) Diap… ",0
454,1,"@mikefabus @tictoc Celebrities, for the most part, are talking about actual issues. Kava-rapist. Tearing families a… ",0
455,1,@NY_Strangler @MCEsoteric I spent 3 hours with a dying man this morning. One of our pastors made a prison visit. Ou… ,0
460,1,"WITH THE GIRLS, IT'S NOT THAT HARD",0
466,1,I just Can’t!!!! Next thing we’ll know Kanye will be in the Trump seat!!! Gads!!!!,0
471,1,"@MomsDemand @JohnFeinblatt Hillary's gun violence prevention plan:
",0
477,1,Comment on REAL SCOOP: Gun violence continues with two Fraser Valley murders – UPDATED by Varinderpal Dirt Napppp ,0
493,1,"@EricHolder Reportedly your team allowed firearms to be sold to Mexican cartels, and your team told gun store owner… ",0
506,1,@EricHolder How is democracy being undermined? All rules of the Constitution have been followed.  Perhaps gun runni… ,0
509,1,Kanye is bipolar and admittedly off his meds. Fuck this administration for exploiting a mentally ill person while s… ,0
522,1,Kanye went full barbershop. Nothing stops these rants but a Soul Train line.,0
528,1,💙VOTE BLUE💙,0
529,1,Niggas talm bout active shooter at work but I got this 40 on me ,0
535,1,@davidhogg111 Really? How so? Gun collectors are not the ones committing crimes.  Gun violence is not coming from l… ,0
550,1,OHHHH BOYYYYYY,0
12,1,Tonight! Even though it's raining...,0
18,1,Local emergency responders all rehearsed for an event they never want to be part of. ,0
24,1,Politics is warping itself into reality TV..,0
30,1,The girl was forced to sit alone during an active shooter drill while other students in her physical education clas… ,0
65,1,@mirthoutofmire completely innocent trans person could do to the students than an active fucking shooter. What the… ,0
73,1,A student I used to teach at the NHCS was one of the victims of Boston gun violence this past week. He was 22 years… ,0
104,1,Really? What a joke! There is a current disaster in FL and the White House is spending time with Kayne. OMG!,0
115,1,Are you fucking kidding me. Drill or fucking not you are showing us how little you fucking care about A MIDDLE SCHO… ,0
121,1,OMG how DARE the ‘token negro’ meet with the President over low black unemployment and gun violence in Chicago..... Fux Wrong with him ?!?!?,0
135,1,"Satanic Left Hand Path Killary Executing ""her Mentor"" ""Saul Alinsky""Chaos ordered to Carry Out Terror Attacks/&amp; for… ",0
141,1,"🆘️🚨CALL TO ACTION🚨🆘️
This is the public consultation on the Pistol/SemiAuto ban. Please fill out this survey from P… ",0
143,1,"All students, faculty, and staff are invited to the Fall 2018 Mission Town Hall “Building Resilient Communities: St… ",0
182,1,@TheRickyDavila @FoxNews I think anger management classes should be in order also. I say this because gun owners al… ,0
183,1,"STOP regurgitating this like it is relevant. It isn’t. This was a stunt, and you are acting like this is some sort… ",0
196,1,#jointheNRA,0
208,1,Dawg who's gonna see an active shooter and worry about that,0
230,1,He’s literally just meeting for lunch to discuss gun violence in Chicago. CNN is MAD mad that someone of color dare… ,0
248,1,LaPierre includes polarization and black and white thinking in his speech causing people to not receive his message… ,0
257,1,"Over 21,000?  Where did you get that estimate??? Did you include the Chicago gang killings?",0
260,1,What Has @Kaepernick7 Done?!,0
273,1,"@DailyCaller LOL, what's wrong with facts?

223 black people were killed by cops last year.

Over 18,000 black peop… ",0
284,1,"@6abc Goes to show there is no age limit on gun violence, we live in a f**ked up society, and it's not getting any better",0
296,1,why divide the kids by gender at all lmao ,0
312,1,"Values like GUN RUNNING aka FAST &amp; FURIOUS? How about U &amp; OBAMA IGNITING THE WAR ON OUR POLICE! RACE BAITING,DID NO… ",0
320,1,"Yes we do, no matter what Soros &amp; Son + other subversives say!",0
343,1,@KimKanyeKimYeFC Stop being negative and see that Chicago needs help more than ever and AT LEAST YE IS DOING WHAT H… ,0
348,1,#SCOM472,0
350,1,Owned,0
367,1,"Damn straight, we do. Disarming law abiding citizens would do NOTHING to reduce crime. Just the opposite.

Democrat… ",0
387,1,@EricHolder u aren't advocating for violence and yet your Fast &amp; Furious illegal gun running is the epitome of advo… ,0
389,1,I'm happy that you are happy. I hope you respect those whose opinion differs from yours and avoid the socialist ind… ,0
398,1,Says the lady who uses it as an excuse for all gun violence #DumpTheNRA,0
413,1,"Two of the biggest idiots in the world, surrounded by cameras and microphones.",0
446,1,Bet the reporters’ heads exploded over this one.,0
447,1,"Hey Boston, I’ll be reading poems with Evie Shockley, Julie Carr, &amp; Chad Kautzer today in Harvard’s Houghton Librar… ",0
464,1,👇🏻👇🏻👇🏻wow👇🏻👇🏻👇🏻🦋,0
468,1,"Online Consultations, so on top of letters,emails,phone calls we have another vector to utilize.Lets make our voice… ",0
473,1,@seanhannity God is watching you. And your propaganda is poison for Americans. History will not be kind to the Trum… ,0
490,1,"@VP @myvoice2016 Do you have criminals dealing narcotic, indulge gang violence and gun violence? Don't blame migran… ",0
497,1,there are so many levels of fucked up in this story. First the fact we have to do active shooter drills in this cou… ,0
503,1,LMAO wtf,0
510,1,"@Ho8Go8L1N @miltsdad There are *significant* limitations in those laws.  
NRA thinks arming… ",0
525,1,Great profile of the course on #gunviolence I am teaching w/ @EpiProfCharlie at @Columbiamsph.… ,0
534,1,"@RoySchuhmacher @EricTrump Actually, no. US deaths from gun violence are exponentially higher than every other coun… ",0
544,1,DAMN RIGHT! Come and get ‘em!,0
546,1,#EducationMatters!,0
0,1,Be empathetic. Be devoted to what you believe in. Don't wish gun violence on gun owners. Don't wish rape on those t… ,0
1,1,#NeverAgain,0
23,1,"@fred_guttenberg Jacksonville , Tucson , Annapolis and Aurora also all legal.                                     H… ",0
25,1,Damn straight!,0
35,1,@MomsDemand @shannonrwatts,0
46,1,"Very grateful for our federal, state &amp; local partners. Criminals don’t have borders. By working together, we can re… ",0
48,1,Great take by Kanye!!,0
49,1,@HillaryClinton @ColinAllredTX @JenniferWexton @RosenforNevada @wildforcongress @Lizzie4Congress @joshua_harder… ,0
58,1,@homomilkkk my teacher ran out of projects to give us bc it was nearing the end of the year so she made us pick an… ,0
70,1,#2ADefenders #JoinTheNRA #NationalReciprocity Whether you like Kanye or not he is speaking out &amp; standing up for wh… ,0
113,1,no words needed,0
121,1,@CrowGarrett @mrscmconnor @jamieleecurtis @USATODAY And most of the actual gun violence is done by handguns.,0
137,1,Yes. I am Ruthanne’s daughter and I will never stop fighting for women and girls #SurvivorStrong #DayOfTheGirl,0
152,1,How to design an effective active shooter exercise ,0
167,1,"@ldelpuerto @TheIJR #TheGangsternizationofPolitics Its True .. we can't be sane in detaining people, Almendariz Arp… ",0
182,1,@XavierWoodsPhD Not an accurate comparison. Railing against “gun culture” and starring in a movie that glorifies gu… ,0
186,1,This is sad to watch,0
188,1,This song is a powerful expression of the impact gun violence has on all of us. Music has been instrumental in my r… ,0
191,1,"@EricHolder Did you want me to fetch the video for you Eric? 
You clearing are advocating for violence. 
You sent y… ",0
193,1,😲😯🤔😶🤭😲🤭🤔🤔🤔😎😎,0
196,1,virginia fucking sucks dude,0
205,1,@mattgurney Hi Matt as a fellow firearms owners thought I would share this tweet from Canada Public Safety. ,0
225,1,"I have chills. ♡
#OrangeWaveInNovember 
#OrangeRibbonsForJaime
#VoteBlue",0
231,1,"""GOP"" ""Satire"" ""Gun Control"" ""Van Control"" ""Germany"" #drellenbrandt Germans overwhelmingly blame Vans for tragedy i… ",0
256,1,Problem is they mostly don’t get ARRESTED. They get DETAINED. I should be an ARREST with fines and or jail time. At… ,0
261,1,Yo NUNCA había tenido active shooter nightmares hasta que me mudé a la estadidad,0
262,1,He is right,0
265,1,How often should #Florida students train for active shooters? The state's rule isn't clear. Listen to @JeffSolochek… ,0
299,1,"@justin_fenton I went home this summer and every one was talking about it! I was like ummm. Is gun violence, run do… ",0
316,1,"@Tdog161 @JenniferJJacobs Complex issue
Extreme Poverty
Lack of education 
Drug dealing (Supply white suburbia drug… ",0
317,1,the man sat there and spoke the truth...,0
329,1,"This ""Man""?  Don't you mean this gun redistributing, non-white, gender identifying as male, congress centured, over… ",0
357,1,"Students mark your 🗓️ for Tuesday, October 16  -  Campus Safety and Active Shooter Response Training.  It will be f… ",0
364,1,"I know everyone harps about gun violence in the US, but can we talk about Fast Food violence in the UK? At least I… ",0
365,1,We have the right to bear arms!,0
393,1,Oh my god.....,0
396,1,@davidhogg111 @noNRAmoney @sandyhook @WAGV @AMarch4OurLives,0
427,1,Absolutely they should!!,0
442,1,"""Xxxtenacles"" I'm dying fam 😂😂",0
451,1,illegal gun dealing racist POS,0
454,1,"@zackfox &amp; @kennybeats have solved gun violence with their track “SQUARE UP” 🥊◽️⬆️

Caution: Side effects of this t… ",0
465,1,Perhaps one day the people of the United States will grow weary of the cost we pay for #gun #violence  ,0
473,1,Cohen Receives Endorsement of Connecticut Against Gun Violence  ,0
496,1,@rolandsmartin @TheAHNShow @realDonaldTrump Gun violence has not gone down in Chicago.,0
509,1,"@ABC @GOP is cool with rape and gun violence, how does this shock anybody?",0
9,1,@HillaryClinton And Obama did SO much to stop the gun violence in Chicago..... oh..... yeah..... he's building a li… ,0
13,1,.@Chicago_Police Superintendent Eddie Johnson named keynote speaker for #UIC's Bridging the Gap symposium on Oct. 1… ,0
31,1,Russia is hacking our elections. The Dow just had a historic drop. Gun violence continues in our schools. The natio… ,0
44,1,"@martoo23 now, he touches some points that have my interest, pero no los sabe elaborar. Police brutality AND gun vi… ",0
47,1,Our moronic government can’t see the forest for the trees! Since when does punishing the law abiding citizen by ban… ,0
71,1,"Well, #WhiteHouse has turned into catwalk and a stage for rappers to discuss prison reform. I think Dan Bilzerian s… ",0
90,1,"Students mark your 🗓️ for Tuesday, October 16  -  Campus Safety and Active Shooter Response Training.  It will be f… ",0
111,1,#WalkAway from Democratic violence,0
121,1,Next he needs to bring in @RealCandaceO I bet she would like a chance with the DC reporters in the room,0
139,1,@FightOnTwist @BigStickRiq is fake. The character IS FAKE. But what she said isn't fake. And what she is presenting… ,0
148,1,@ghost_kitty @sh_irredeemable @GeorgiasLori @KatyOldenburg @PrettyPatriot05 @griffinslay3 @StanMcGinnis194… ,0
158,1,"@BBC_dip @RustyIronRat @gunsdownamerica I should know. Jason B killed himself with a shotgun, Paul got shot by a SW… ",0
185,1,"@RealKanyeTwitty @MsNterprted @idge_8 @jaketapper They haven't got them up for vote yet, but look up The Gun Violen… ",0
217,1,"The Liberal gov is looking to gun grab in Canada, citing gun violence.  But criminals do not abide by laws &amp; this a… ",0
223,1,Why do people think you can’t be pro-gun control AND pro-2A? Like ffs look at Switzerland! Pretty much everyone has… ,0
228,1,@FizzyCuteness @enews We should be focusing on things that actually matter like preventing gun violence fighting cl… ,0
236,1,Virginia school apologizes after barring trans student from active-shooter drill  #10TV ,0
261,1,@FizzyCuteness @enews there are more important issues that we should deal with  like climate change gun violence op… ,0
287,1,"@DailyLoud People be so weak,crying over some real shit.Can y’all X fans take that same energy to gun violence. YOU… ",0
289,1,@GunFreeSA @BTL_Alexfm @CRFprojects @SAPoliceService @safer_spaces Why gun violence and not just violence? Rape is… ,0
291,1,@MarkErelli is a human of conscience and a true artist. Hats off to him for making this happen. Voices in the wilde… ,0
295,1,Thanks to U.S. Attorney Jessie Liu of DC for raising HER hand to stop gun violence! #DayoftheGirl #RaiseYourHand… ,0
297,1,I’m really doing a training at work rn on how to react during an active shooter threat. What kind of world do we live in......,0
299,1,@Tim72Blue @jwagginator @Andrew_Ragina @azcentral Okay Tim but you are defending a person who said mentally ill peo… ,0
300,1,"Then why did this asshole contribute and join the March For Our Lives protest led by hoggtard?

Screw this guy.
Opp… ",0
310,1,"@NRA @realDonaldTrump Kanye's called for abolition of the 13th amendment so not shocking the self proclaimed ""porn… ",0
318,1,Those administrators should be fired. What utter stupidity and contempt for a human being.,0
335,1,@altsimile I sent it to my mom &amp; she was LIVID. Teachers don’t do that. And she should know. Del Paso Heights has a… ,0
338,1,"@RonFunches LOL, it was be hilarious if he did. That said, Fox has a point. Many in Hollywood who advocate for gun… ",0
344,1,@BlaisKyle @MattxRed @davidhogg111 Considering the 50 Cent was almost killed by gun violence pretty sure that he’s not a big fan,0
368,1,@cicero418 @EricBoehlert ,0
371,1,"What he meant to say was ""if they bring a knife to the fight, we bring a gun"".
Oh never mind, that was someone else… ",0
383,1,We all know that Kanye may not be the most politically astute individual or the world's best communicator. However… ,0
389,1,He is also noted as being held in contempt of Congress for refusing to turn over information related to a gun runni… ,0
400,1,A Virginia school district superintendent has apologized to a transgender middle schooler who was barred from using… ,0
401,1,"@RudyGiuliani Such BS-,A vote for a democratic house is a vote for not pulling the rug out from 20 million American… ",0
403,1,"@MattxRed @davidhogg111 Matt if you are worried only by the ranged people’s massacres, then you’re completely wrong… ",0
414,1,@spookyfartz @lungfiber She’s not going to learn her lesson until shes going to have to use gun violence to protect… ,0
427,1,"THE FACT THAT A HORROR MOVIE IS BEING CRITICIZED FOR HAVING GUNS AND VIOLENCE... y’all officially pussies now .
  J… ",0
437,1,African American Women In Cinema Anti-Gun Violence Tour Kick-Off:  via @YouTube,0
445,1,"Bullets. Beer. BBQ. What else is there?! Thursday, November 1 • 6pm -  ",0
448,1,A cruel example of a sad truth is that children now see schools as potential battlefields. The U.S. is jaded toward… ,0
476,1,"@R2017Girl Gun violence does the same thing. A deliberate termination of life. Right? 

Keep in mind. Not all pregn… ",0
483,1,"Yale Opens Door To Exit Private Funds In Social Investment Shift: Yale University, facing pressure to address ethic… ",0
11,1,"2 fools together,  dumb and dumber",0
23,1,@SteveWestly nice try steve... russia has been meddling in our affairs since 1920s.  dow still up for year and cert… ,0
25,1,This is coming from a deep state puppet! Long live the 2A!,0
30,1,of course defend legal gun ownership thats what this country is based on! Read some history abc! is that all the fu… ,0
49,1,@IMAO_ @AmySwearer “Mass shootings?” Actually pretty rare. “Gang violence”  the dominant contributing factor to dea… ,0
54,1,"@voler @newstruthliz @jamieleecurtis @FoxNews If someone resorts to a gun to solve an argument, bullying, etc. epec… ",0
58,1,@davidhogg111 hoping you young people can #GOTV to stop gun violence and shootings in our schools. This is your fir… ,0
59,1,"@i_am_fineapple @Gaidheal_Alaska @KaitMarieox Then why not do something to help like remove gun free zones, put arm… ",0
71,1,My Ask of You: Please listen to this song and buy it next week.  100% of the proceeds will go to @GabbyGiffords and… ,0
72,1,Multiple emergency service agencies participated in a full-scale exercise this morning to test response and communi… ,0
77,1,Pants hold the beam and the beam hold me down,0
81,1,@Courtney_Unger @ConnieSchultz @jaketapper Oh thanks for clarifying the violence. When a grown man says kick them t… ,0
86,1,"@EricHolder Not only you advocate violence,this liberal hack Holder is also accusing us of lying when we all watch… ",0
96,1,are you the shooter,0
115,1,"Wow, Kanye wants clemency for Gangster Disciples OG Larry Hoover, currently in ADX as a way of reducing Chicago's g… ",0
125,1,"Beto belongs to the party of Antifa, anti-gun rights, destruction, violence, illegals, drugs, harassment, broken gl… ",0
133,1,"@ABC Like one 5th grader speaking to another 5th grader.
",0
147,1,LMAOOOOOOOOOOOO 10/10,0
154,1,"He actually said ""illegal guns.""",0
156,1,@brandeeezy__ No it was an active shooter training ! There was no shooter on site they were just teaching us but thank u lol,0
167,1,"@antwiggily What part of ""Fast &amp; Furious"" gun running did not promote violence. 
How soon they forget their OWN wicked ways.",0
178,1,@USATODAY And still liberal media and Democrats silent on the gun shootings and issues in ChiRaq. Yet report on ill… ,0
194,1,@downrangewithcw @KarmaIsABitch76 @shadowbanned31 @kathygriffin @DLoesch @NRATV The Center for Disease Control was… ,0
196,1,THIS makes me sick to my STOMACH!  Common gun sense laws NOW!!,0
204,1,"Meet the Doctor Suing Trump: Dr. Eugene Gu on Gun Violence, Privatization of VA &amp; White Supremacy...… ",0
209,1,@VanessaWBAL Too little too late time of the essence lock boxes while active shooter mows down kids great idea,0
238,1,When you’re the active shooter,0
241,1,"If approved, I-1639 would enact the strictest gun-control laws in the country. Supporters say it would curb gun vio… ",0
244,1,@KamalaHarris There's also the old gun violence.,0
249,1,"@crimsonblu22 @MomsDemand Try looking at facts and CDC statistics instead of listening to Bloomberg.  
Not starting… ",0
260,1,There is no gun show loop hole. I have a minor criminal record that doesnt involve any violence towards another hum… ,0
270,1,Please vote for my artist daughter Jasmine Dearden in Toronto's anti-gun violence contest on the attached site. Her… ,0
277,1,@KamalaHarris This shows how anti-constitutional you are.  If you really wanted to end gun violence you would try t… ,0
279,1,I swear I’m not laughing,0
283,1,Who cares?   She is not worth talking about.  Set the children free.  Stop the gun violence. FREE  Healthcare for a… ,0
316,1,@HillaryClinton and the gun violence you have caused with wars and murders?  Pla ese,0
326,1,Good riddance,0
327,1,,0
382,1,Left - 3: 1 Creating $1M fund to fuel nonprofit and activist work to end gun violence;,0
391,1,@IntrinsicMotive @sandylawson63 Sorry that happened to you and especially sorry your kids were witness to it. My 2… ,0
405,1,@MartinDoyle617 @globeandmail @globepolitics I would suggest ZERO TOLERANCE approach to ILLEGAL gun violence &amp; it’s… ,0
430,1,So excited!,0
434,1,"Rhetorical. I do, and it ain’t about gun violence.",0
6,1,"This is so sad to me. Those teachers obviously do not care at all. Rule #1 about being a teacher, make sure ALL you… ",0
62,1,&amp;#8216;Active shooter&amp;#8217; call to Overland Park police was a hoax; now a man is charged ,0
77,1,Tom Gill wants to be mayor at any cost. Does not denounce his supporters engaging in election fraud and the sanctit… ,0
81,1,Productive first @Byond_Headlines meeting. Eager to see this year's upcoming episodes on a range of interesting &amp; t… ,0
86,1,America is exceptional in many ways. Gun violence against women should not be one of them. #DVAM #DVAM2018 ,0
101,1,"Q: ""What about gun violence""

The problem is illegal guns""

""We have the right to bear arms""

Look at Jim Brown's f… ",0
109,1,"@RuthieKetchup @KarmaIsABitch76 @shadowbanned31 @kathygriffin @DLoesch @NRATV Ahh no they are not blocked.. ""That T… ",0
122,1,"Over the past few months, @ShawnMendes has expressed his support/helped raise awareness for #BellLetsTalk mental he… ",0
125,1,"@AliMaadelat Liberals: all lives matter

Also liberals: kills thousands of babies every day due to abortion. 

If y… ",0
131,1,"All a result of Tom Gill and Surrey First taking a ""pass"" on crime gun violence. Sad for #SurreyBC. Tom Gill was he… ",0
133,1,twitter is back on their bs wtf,0
155,1,"@Yahoo She thinks it's ok to promote gun violence, make money from it, then step away from it to the point she is anti gun.  Hypocrite.",0
185,1,Like gun running....,0
192,1,I can’t believe there are people who say this woman can’t sing or that she’s “white trash.” Kesha’s music is genera… ,0
204,1,"Mano que orgulho do meu filho!! Ele podia muito bem ser um babaca deslumbrado com a fama e sair por aí se exibindo,… ",0
241,1,Brady Center and Cohen Milstein Announce Landmark Settlement | Brady Campaign to Prevent Gun Violence ,0
250,1,Hey everyone please buy this song! Two great reasons . One it’s Kesha and I love her so much and two the donations… ,0
260,1,@Tonia8675309 @SuSmbp99 @PalmBitching @Mihero @lovemyjessica22 @OHMOONDANCE @nikki_fortson @tamarask16… ,0
263,1,@MattxRed @davidhogg111 I know we have a fight to bare arms. But this country is the worst for gun violence than an… ,0
269,1,"1) Trump doesn't know WTF he's saying, nor does he care. 
2) This y'all favorite rapper/genius??!?!?! 

🗣unfollow me",0
270,1,"West also touched on subjects from mental health reform, gun violence, black voters, Democrats, trade with China to… ",0
299,1,"not even touching how horribly disgusting this is, why do they separate by gender during an active shooter drill? t… ",0
304,1,this makes me so so so happy i love u forever @ShawnMendes,0
338,1,@HillaryClinton @ColinAllredTX @JenniferWexton @RosenforNevada @wildforcongress @Lizzie4Congress @joshua_harder… ,0
339,1,"Right and I don’t want to put my faith or my money into a grifter to solve any of those things.
A grifter is how we… ",0
355,1,Why is there so much Nutty Gun Violence in South Carolina. Man Shoots Cousin He Warned Not To Eat His Potato Chips:… ,0
370,1,Worth a listen!,0
375,1,This is so sad,0
376,1,"Again, the laws you see being created is to preserve white supremacy. Anything that threats it will be shot down.",0
395,1,Absolutely appalling.... I wonder how many of those have alcohol as a factor..,0
413,1,"A lot of talk about civility lately so I'll calmly and politely say, I believe GOP policies will bankrupt and kill… ",0
44,1,Y’all said he should speak up more: He listened !,0
49,1,Alabama has the 2nd highest gun death rate in the country &amp; the 5th highest rate of accidental child shootings! Yet… ,0
63,1,Eric the scumbag holder is a loser. He doesn’t have the balls to do his own dirty work. He is calling on the demon… ,0
79,1,Summary: he is amazing.,0
122,1,"@MattWalshBlog Crazy someone would be chastised for trying to reduce black on black gun violence, among other probl… ",0
158,1,This makes me so happy ❤️,0
162,1,ljudi vi ne shvatate koliko sam uzbuđena što ću raditi prezentaciju iz engleskog na temu gun violence,0
180,1,@RandPaul I read your concerns about violence against folks like you. Your wife mentioned owning a gun against Libe… ,0
183,1,@NRA @realDonaldTrump ,0
185,1,@Political_Dad40 @MissesThe90s @NRA @realDonaldTrump How about the government funding the CDC....AGAIN to allow the… ,0
190,1,this was done for the sole purpose of humiliating her. change my mind,0
195,1,This is the guy!!!! We really can make this a better world! @ShawnMendes i have no words for u! ♥️,0
233,1,This is what Bipolar disorder looks like.,0
238,1,"But there wasn’t much establishment media concern for Dem attempts to politicize the Scalise shooting, but covering… ",0
239,1,So she can pad her pockets. They see America as dollars. Not people.,0
244,1,We are getting a little stupid with gun violence in Ontario.,0
248,1,BSU &amp; NSBE Presents: Guns and Roses’ Wonderful Speaker April Preyar On Gun Violence and the Black Understanding… ,0
264,1,"#BANANAFISH has it's own different atmosphere, it explores dark themes such pedophilia, rape &amp; gun violence, and so… ",0
